names,Top_course,location,public/private,rating/5,fee_structure,entrance_text,other_course
AAA College of Engineering and Technology,BE Computer Science and Engineering,Virudhunagar,Private,5.0,3.7,JEE,8.0
Aadishwar College of Technology,B.Tech Electrical Engineering,Bhoyan Rathod,Private,2.6,2.84,JEE,11.0
"AAERT and SSB Faculty of Architecture, Sarvajanik College of Engineering and Technology",B.Arch,Surat,Private,3.9539370078740155,3.7,JEE,6.0
Aakar Academy of Architecture,B.Arch,Bangalore,Private,3.9539370078740155,3.7,NATA,6.0
Aalim Muhammed Salegh Academy of Architecture,B.Arch,Chennai,Private,3.9539370078740155,3.7,JEE,6.0
Aalim Muhammed Salegh College of Engineering,BE Computer Science and Engineering,Chennai,Private,4.0,3.7,JEE,9.0
Aalim Muhammed Salegh Polytechnic College,Diploma in Automobile Engineering,Chennai,Private,3.9539370078740155,3.7,JEE,6.0
AANM and VVRSR Polytechnic,Diploma in Computer Engineering,Krishna,Private,4.0,3.7,JEE,6.0
Aarav Polytechnic College,Diploma in Electrical Engineering,Chomu,Private,3.9539370078740155,3.7,JEE,6.0
AAR Mahaveer Engineering College,B.Tech Computer Science and Engineering,Hyderabad,Private,4.0,3.7,TS,5.0
Aarooran Polytechnic College,Diploma in Mechanical Engineering,Thiruvarur,Private,3.9539370078740155,3.7,JEE,6.0
Aarsh Mahavidyalaya,Diploma in Computer Engineering,Rajkot,Private,3.9539370078740155,1.26,JEE,6.0
AVIT Kancheepuram - Aarupadai Veedu Institute of Technology,BE Computer Science and Engineering,Kancheepuram,Private,4.1,3.7,JEE,27.0
Aarushi Group of Institutions,B.Tech Civil Engineering,Warangal,Private,3.9539370078740155,1.4,JEE,4.0
Aarya-Veer College of Engineering and Technology,B.Tech Civil Engineering,Kuvadva,Private,3.9539370078740155,3.7,JEE,3.0
AAT College,PGD in Sound Engineering,Chennai,Private,3.9539370078740155,3.7,JEE,6.0
AAT College,PGD Sound Engineering,Mumbai,Private,3.9539370078740155,3.7,JEE,6.0
ASAD Pune - Aayojan School of Architecture and Design,B.Arch,Pune,Private,3.9539370078740155,3.7,JEE,6.0
Aayojan School of Architecture,B.Arch,Jaipur,Private,4.3,5.03,JEE,6.0
Abacus Institute of Engineering and Management,B.Tech Computer Science and Engineering,Hooghly,Private,4.9,3.7,JEE,10.0
Abasaheb Parvekar Mahavidyalaya,B.Voc Textile and Ginning Technology,Yavatmal,Private,3.9539370078740155,3.7,JEE,6.0
Abasaheb Shivajirao Sitaram Patil Institute of Polytechnic,Diploma in Civil Engineering,Jalgaon,Private,3.9539370078740155,3.7,JEE,6.0
Abbnoor Polytechnic College,Diploma in Civil Engineering,Faridkot,Private,3.9539370078740155,3.7,JEE,6.0
Abdulkalam Institute of Technological Sciences,Diploma in Computer Science Engineering,Bhadradri Kothagudem,Private,3.4,3.7,TS,8.0
ABES Engineering College,B.Tech Computer Science,Ghaziabad,Private,4.2,5.93,JEE,10.0
ABESIT Ghaziabad - ABES Institute of Technology,B.Tech Computer Science and Engineering,Ghaziabad,Private,3.8,5.02,UPCET,7.0
Abha Gaikwad-Patil College of Engineering,BE Civil Engineering,Nagpur,Private,3.9539370078740155,3.6,JEE,5.0
Abhayapuri College,Diploma in Test Engineer,Bongaigaon,Public,3.9539370078740155,3.7,JEE,6.0
Abhay Memorial Trust Group of Institutions,Diploma in Civil Engineering,Allahabad,Private,3.9539370078740155,3.7,JEE,6.0
Abhaysinhraje Bhonsle Institute of Technology,Diploma in Mechanical Engineering,Satara,Private,3.9539370078740155,1.77,JEE,6.0
Abhilashi University,B.Tech Civil Engineering,Chail-Chowk,Private,2.5,3.7,JEE,2.0
"[""Abhinav Education Society's College of Engineering and Technology Polytechnic, ""]",Diploma in Mechanical Engineering,Satara,Private,3.9539370078740155,3.7,JEE,6.0
"[""Abhinav Education Society's College of Engineering and Technology, ""]",BE Computer Science and Engineering,Satara,Private,4.0,3.7,JEE,3.0
Abhinav Hi-Tech College of Engineering,B.Tech Civil Engineering,Hyderabad,Private,3.5,3.7,JEE,5.0
Abhishek Polytechnic College,Diploma in Civil Engineering,Abohar,Private,3.9539370078740155,3.7,JEE,6.0
Abhyudaya Mahila Degree College,B.Sc Artificial Intelligence Hons,Guntur,Private,4.0,3.7,JEE,6.0
Abhyuday University,B.Tech Computer Science and Engineering,Khargone,Private,3.9539370078740155,2.4,JEE,6.0
"ABI and ABI College Arts, Science and Technology",B.Sc Electronics and Communications,Thanjavur,Private,3.9539370078740155,3.7,JEE,6.0
